!!id a e inc node peri ma epoch H 
367 47.9604 0.2435 3.9409 276.7729 105.7452 187.3175 53157.0 7.0
367 47.9492 0.3612 10.4328 16.8184 2.3351 2.1305 53157.0 7.0
367 47.7469 0.2898 5.7025 68.0820 295.6770 11.2216 53157.0 7.0
368 47.7331 0.2690 4.7194 51.2632 335.9329 172.0076 53157.0 7.0
370 47.6110 0.3153 4.1245 5.0104 161.3823 292.1279 53157.0 7.0
373 47.8323 0.2509 2.5249 56.3801 290.5784 190.3323 53157.0 7.0
373 47.6287 0.3566 5.6554 294.6664 187.6652 130.9107 53157.0 7.0
374 47.9379 0.3483 2.1156 33.6843 97.0067 318.4847 53157.0 7.0
374 47.6817 0.0924 4.2915 239.1968 66.2048 50.9113 53157.0 7.0
375 47.7297 0.2514 12.6363 340.6481 57.5409 179.9403 53157.0 7.0
375 47.8544 0.2203 11.7049 137.3843 97.2122 75.2176 53157.0 7.0
375 47.9952 0.3521 5.6016 222.4792 55.7923 233.6639 53157.0 7.0
375 47.8768 0.2993 6.4162 233.6645 17.6621 69.8408 53157.0 7.0
375 47.7396 0.3245 3.3724 79.4964 350.2092 160.1751 53157.0 7.0
376 47.6650 0.1875 7.9482 169.6068 20.0761 118.4790 53157.0 7.0
376 47.6864 0.3160 5.8351 323.2133 182.0096 115.8296 53157.0 7.0
379 47.8802 0.2711 9.0087 153.4562 77.6147 264.4627 53157.0 7.0
383 47.7061 0.1900 4.7510 320.7729 39.1300 193.1238 53157.0 7.0
383 47.6592 0.2346 13.4785 220.5521 31.5259 244.6929 53157.0 7.0
383 47.9474 0.3170 8.9414 10.2504 222.5403 81.0068 53157.0 7.0
383 47.7497 0.2655 11.7596 140.0397 262.1291 184.1686 53157.0 7.0
384 47.7234 0.3326 8.7327 273.2314 130.3579 170.1588 53157.0 7.0
385 47.6417 0.3279 18.2100 282.9497 359.1068 50.5165 53157.0 7.0
387 47.7087 0.2363 8.2780 147.1446 137.4704 219.1571 53157.0 7.0
388 47.8756 0.1972 5.1992 39.6900 347.1400 190.1575 53157.0 7.0
389 47.6715 0.2646 9.7436 58.1474 141.8234 275.4583 53157.0 7.0
